fighter,KD,SIG_STR_pct,TD_pct,SUB_ATT,REV,SIG_STR_att,SIG_STR_landed,TOTAL_STR_att,TOTAL_STR_landed,TD_att,TD_landed,p4p_score
Zabit Magomedsharipov,0.0001933644971188973,0.06907866379310344,0.056442396313364056,0.022346343430125107,0.04010416666666667,0.03182371256887203,0.040465029064316524,0.016800624959008408,0.02171686406248169,0.02025893508388038,0.025691598061540255,0.34492169850047744
Raoni Barcelos,0.06262689332686847,0.05946120689655171,0.06662672811059908,0.00822021831461473,0.0,0.03801111936154149,0.04617288580536283,0.019182584882928,0.023940918297720295,0.008336980306345733,0.01187878787878788,0.3444583231813202
Rick Story,0.03520213391398021,0.045350694673680136,0.07124127243156719,0.02351244729546713,0.020888057507966698,0.03883830472193961,0.036367686565872435,0.020253830352189167,0.0221052316021188,0.01234955920006676,0.014799449722412844,0.34090866798726094
Deron Winn,0.0012849155808183244,0.0540301724137931,0.023225806451612905,0.0009382996872334377,0.009375000000000001,0.07563973767791289,0.08016126007875492,0.034162194651910595,0.03514490959876762,0.014387308533916846,0.00939831844456122,0.3377479231192819
Daniel Rodriguez,0.09687561305656756,0.048599137931034486,0.029493087557603687,0.011057189299296276,0.0,0.05020622609368467,0.05308925557847365,0.021548013401219913,0.02125001165935177,0.0015590809628008753,0.002207041513399895,0.3358846570534328
Colby Covington,0.009129779102429167,0.05960009506589853,0.06090985853863878,0.0037310407485072502,0.0,0.046537016179856616,0.04038278984984639,0.02882259426063047,0.03168297899666435,0.02499503582098973,0.028881958900925667,0.3346731474643869
Kai Kamaka,0.0026858498599079874,0.06275862068965518,0.07649769585253456,0.0020471993176002273,0.0,0.04588826975995408,0.06092255765985374,0.023434749913075356,0.03048816450233223,0.010175054704595185,0.019090909090909092,0.3339890713504176
Pascal Krauss,0.0012849155808183244,0.052575431034482756,0.06270967741935483,0.024594825135058288,0.0,0.04167015056688777,0.046352897056066,0.033709377889065285,0.049999999999999996,0.008834792122538291,0.011899632159747767,0.33363169896401934
Khabib Nurmagomedov,0.027429497625919893,0.0584066942452752,0.046109056518078693,0.013910170688797272,0.0,0.03809785287749359,0.04353954513984047,0.020986968456046196,0.026425052886543662,0.029175071799781183,0.029104431515016772,0.333184341752793
Joanne Calderwood,0.029955063903661733,0.05945804990571121,0.04345574116743472,0.007714908539474931,0.008007812500000001,0.051047594496893604,0.05664377461091318,0.02766975743306803,0.03321095199384482,0.007054755880743982,0.008796874087697788,0.33301528451944407
